Type,Landing Velocity,Success,Total Fault Intensity,Dry Mass,Propellant Mass,Diameter,Thrust Average,Wind Speed,Drag Coefficient,Air Density,Initial Altitude,Initial Velocity,Landing X,Landing Y,Landing Distance
Optimization,0.498986531356434,True,0.0,52.49080237694725,11.802857225639665,0.3731993941811405,1019.7316968394073,1.8722236853092382,0.48119890406724053,1.15580836121682,1246.470458309974,57.022300234864176,-0.44414738158550776,-0.4015520314567355,0.5987578229437122
ML,0.4198435081453495,True,0.0,52.49080237694725,11.802857225639665,0.3731993941811405,1019.7316968394073,1.8722236853092382,0.48119890406724053,1.15580836121682,1246.470458309974,57.022300234864176,-4.526777040153747,1.9316902776351847,4.921700691831373
cvxkerb,2.0530686114746355,False,0.0,52.49080237694725,11.802857225639665,0.3731993941811405,1019.7316968394073,1.8722236853092382,0.48119890406724053,1.15580836121682,1246.470458309974,57.022300234864176,-12.268686961541087,-5.662603087776723,13.512429592415524
Optimization,0.6745261852252037,True,0.0,60.70351922786027,8.798695128633439,0.35142344384136115,1018.4829137724084,0.5574049526399727,0.5715089703802877,1.1670524123687291,926.0206371941118,63.977710745066666,-12.53590126819223,-3.519103862311083,13.020480505710852
ML,0.38154025784484774,True,0.0,60.70351922786027,8.798695128633439,0.35142344384136115,1018.4829137724084,0.5574049526399727,0.5715089703802877,1.1670524123687291,926.0206371941118,63.977710745066666,-0.030048621317401134,-2.3547622407254627,2.354953954961642
cvxkerb,2.017123560333528,False,0.0,60.70351922786027,8.798695128633439,0.35142344384136115,1018.4829137724084,0.5574049526399727,0.5715089703802877,1.1670524123687291,926.0206371941118,63.977710745066666,15.322246962447268,-22.741697908703177,27.421817513595613
Optimization,0.6289630667114756,True,0.0,51.23422152178822,10.080272084711243,0.354671027934328,936.9708911051055,11.635015533174702,0.6050265646722229,1.2439498941564189,1257.9309401710595,56.9579995762217,-3.324812909031449,-5.216760977833308,6.186192365252353
ML,0.3881571346931402,True,0.0,51.23422152178822,10.080272084711243,0.354671027934328,936.9708911051055,11.635015533174702,0.6050265646722229,1.2439498941564189,1257.9309401710595,56.9579995762217,2.9158212288110334,-3.1183607046675546,4.2692138530178845
cvxkerb,2.592177494891079,False,0.0,51.23422152178822,10.080272084711243,0.354671027934328,936.9708911051055,11.635015533174702,0.6050265646722229,1.2439498941564189,1257.9309401710595,56.9579995762217,0.9774472006001389,4.232678907792853,4.344073407118663
Optimization,0.4390347137718346,True,0.0,59.58014336081975,11.085081386743783,0.307404465173409,971.6931457088546,1.3904287143015566,0.6226206851751187,1.2123298126827557,1032.3592099410596,46.27116700572047,2.799996193730297,2.5627408140515993,3.7957369725667243
ML,0.5177348480246722,True,0.0,59.58014336081975,11.085081386743783,0.307404465173409,971.6931457088546,1.3904287143015566,0.6226206851751187,1.2123298126827557,1032.3592099410596,46.27116700572047,0.8859082061472906,-1.5803649110376286,1.811735798000934
cvxkerb,2.509873109315909,False,0.0,59.58014336081975,11.085081386743783,0.307404465173409,971.6931457088546,1.3904287143015566,0.6226206851751187,1.2123298126827557,1032.3592099410596,46.27116700572047,-0.4254558928340225,18.58109018159718,18.58596042859756
Optimization,0.4203342695811048,True,0.0,55.45465658763988,9.710164073434198,0.3025419126744095,921.5782853986609,0.377150228240811,0.5772820822527561,1.1814355981076325,1103.428276465881,63.15132947852186,-2.556207985116951,2.4086926334168672,3.5122641508651284
ML,0.3327156755109859,True,0.0,55.45465658763988,9.710164073434198,0.3025419126744095,921.5782853986609,0.377150228240811,0.5772820822527561,1.1814355981076325,1103.428276465881,63.15132947852186,-2.3647474279440766,2.3632924886292046,3.343229245023342
cvxkerb,2.7154270694247256,False,0.0,55.45465658763988,9.710164073434198,0.3025419126744095,921.5782853986609,0.377150228240811,0.5772820822527561,1.1814355981076325,1103.428276465881,63.15132947852186,17.428228679722693,20.643587041890193,27.01667708784345
Optimization,0.4661078899014106,True,0.0,62.92182599846986,9.272013899887455,0.31100519245276764,945.5870325083883,5.125293463515076,0.6136029531844986,1.2360730583256343,902.7808522124762,55.214946051551316,0.6283578356501942,-1.2266779335172675,1.378249731435196
ML,0.3587038426901874,True,0.0,62.92182599846986,9.272013899887455,0.31100519245276764,945.5870325083883,5.125293463515076,0.6136029531844986,1.2360730583256343,902.7808522124762,55.214946051551316,4.358358283477918,0.40339218747143885,4.376986655688315
cvxkerb,2.181077098866354,False,0.0,62.92182599846986,9.272013899887455,0.31100519245276764,945.5870325083883,5.125293463515076,0.6136029531844986,1.2360730583256343,902.7808522124762,55.214946051551316,-64.6470338818459,-0.8933026464217784,64.65320548386318
